MUNICIPIO_CIRCUNSCRICAO,DP_CIRCUNSCRICAO ,Nº DE VÍT HD,MÊS ESTATISTICA,ANO_BO,MUNICIPIO_ELABORACAO,SEXO,IDADE_PESSOA,COR_PELE,PROFISSAO,NATUREZA_APURADA
Ourinhos,003 DP - Ourinhos,1,Agosto,2021,OURINHOS,Feminino,35,Parda,GERENTE,HOMICÍDIO DOLOSO
Arandu,DM - Arandu,1,Agosto,2021,AVARE,Feminino,19,Branca,DESEMPREGADO(A),HOMICÍDIO DOLOSO
Lucélia,DM - Lucélia,1,Agosto,2021,ADAMANTINA,Feminino,22,Parda,NÃO_DECLARADO,HOMICÍDIO DOLOSO
Carapicuíba,002 DP - Carapicuiba,1,Agosto,2021,CARAPICUIBA,Feminino,27,Branca,NAO INFORMADA,HOMICÍDIO DOLOSO
Juquitiba,DM - Juquitiba,1,Agosto,2021,JUQUITIBA,Feminino,19,Branca,NÃO_DECLARADO,HOMICÍDIO DOLOSO
São Paulo,006 DP - Cambuci,1,Setembro,2021,S.PAULO,Feminino,31,Parda,NAO INFORMADA,HOMICÍDIO DOLOSO
São Paulo,025 DP - Parelheiros,1,Setembro,2021,S.PAULO,Feminino,30,Branca,BABÁ,HOMICÍDIO DOLOSO
São Paulo,080 DP - Vila Joaniza,1,Setembro,2021,S.PAULO,Feminino,36,Parda,NAO INFORMADA,HOMICÍDIO DOLOSO
Bauru,002 DP - Bauru,1,Setembro,2021,BAURU,Feminino,41,Parda,NÃO_DECLARADO,HOMICÍDIO DOLOSO
Mairinque,DM - Mairinque,1,Setembro,2021,MAIRINQUE,Feminino,46,Branca,PRENDAS DOMESTICAS,HOMICÍDIO DOLOSO
Cotia,DM - Cotia,1,Setembro,2021,COTIA,Feminino,25,Branca,DESEMPREGADO(A),HOMICÍDIO DOLOSO
São Paulo,047 DP - Capão Redondo,1,Outubro,2021,S.PAULO,Feminino,69,Branca,PRENDAS DOMESTICAS,HOMICÍDIO DOLOSO
São Paulo,100 DP - Jardim Herculano,1,Outubro,2021,S.PAULO,Feminino,23,Parda,NÃO_DECLARADO,HOMICÍDIO DOLOSO
São Paulo,049 DP - São Mateus,1,Outubro,2021,S.PAULO,Feminino,27,Parda,DESEMPREGADO(A),HOMICÍDIO DOLOSO
Jundiaí,005 DP - Jundiai,1,Outubro,2021,JUNDIAI,Feminino,36,Parda,NÃO_DECLARADO,HOMICÍDIO DOLOSO
Bebedouro,002 DP - Bebedouro,1,Outubro,2021,BEBEDOURO,Feminino,39,Preta,COZINHEIRO(A),HOMICÍDIO DOLOSO
Santo Antonio da Alegria,DM - Sto. Antonio da Alegria,1,Outubro,2021,ALTINOPOLIS,Feminino,27,Branca,PRENDAS DOMESTICAS,HOMICÍDIO DOLOSO
Marília,002 DP - Marília,1,Outubro,2021,MARILIA,Feminino,32,Parda,PRENDAS DOMESTICAS,HOMICÍDIO DOLOSO
Tatuí,DM - Tatuí,1,Outubro,2021,TATUI,Feminino,43,Preta,PRENDAS DOMESTICAS,HOMICÍDIO DOLOSO
Piracicaba,002 DP - Piracicaba,1,Outubro,2021,PIRACICABA,Feminino,42,Branca,ESTUDANTE,HOMICÍDIO DOLOSO
Santana de Parnaíba,DM - Santana do Parnaiba,1,Outubro,2021,BARUERI,Feminino,42,Parda,NÃO_DECLARADO,HOMICÍDIO DOLOSO
São Paulo,087 DP - Vila Pereira Barreto,1,Novembro,2021,S.PAULO,Feminino,49,Branca,MANICURE,HOMICÍDIO DOLOSO
Birigui,DM - Birigui,1,Novembro,2021,BIRIGUI,Feminino,27,Branca,NÃO_DECLARADO,HOMICÍDIO DOLOSO
Franca,003 DP - Franca,1,Novembro,2021,FRANCA,Feminino,34,Branca,ANALISTA FINANCEIRO,HOMICÍDIO DOLOSO
Luís Antônio,DM - Luiz Antonio,1,Novembro,2021,LUIS ANTONIO,Feminino,42,Parda,PROFESSOR(A),HOMICÍDIO DOLOSO
São Carlos,002 DP - São Carlos,1,Novembro,2021,S.CARLOS,Feminino,38,Parda,NAO INFORMADA,HOMICÍDIO DOLOSO
Quatá,DM - Quatá,1,Novembro,2021,QUATA,Feminino,23,Branca,PRENDAS DOMESTICAS,HOMICÍDIO DOLOSO
Catanduva,003 DP - Catanduva,1,Novembro,2021,CATANDUVA,Feminino,32,Parda,ARTISTA,HOMICÍDIO DOLOSO
Botucatu,001 DP - Botucatu,1,Novembro,2021,BOTUCATU,Feminino,41,Branca,NAO INFORMADA,HOMICÍDIO DOLOSO
Sumaré,005 DP - Sumaré,1,Novembro,2021,SUMARE,Feminino,34,Parda,PORTEIRO(A),HOMICÍDIO DOLOSO
Pirassununga,003 DP - Pirassununga,1,Novembro,2021,PIRASSUNUNGA,Feminino,34,Branca,NÃO_DECLARADO,HOMICÍDIO DOLOSO
São Paulo,095 DP - Heliópolis,1,Dezembro,2021,S.PAULO,Feminino,33,Branca,AUXILIAR DE LIMPEZA,HOMICÍDIO DOLOSO
São Paulo,100 DP - Jardim Herculano,1,Dezembro,2021,S.PAULO,Feminino,22,Parda,NÃO_DECLARADO,HOMICÍDIO DOLOSO
São Paulo,024 DP - Ponte Rasa,1,Dezembro,2021,S.PAULO,Feminino,38,Ignorada,EMPREGADO DOMESTICO,HOMICÍDIO DOLOSO
Jacareí,001 DP - Jacareí,1,Dezembro,2021,JACAREI,Feminino,49,Branca,AUXILIAR DE COZINHA,HOMICÍDIO DOLOSO
Birigui,DM - Birigui,1,Dezembro,2022,BIRIGUI,Feminino,55,Parda,NÃO_DECLARADO,HOMICÍDIO DOLOSO
São Vicente,001 DP - São Vicente,1,Dezembro,2021,S.VICENTE,Feminino,56,Branca,NÃO_DECLARADO,HOMICÍDIO DOLOSO
Guarujá,001 DP - Guarujá,1,Dezembro,2021,GUARUJA,Feminino,53,Branca,AUTONOMO(A),HOMICÍDIO DOLOSO
Sorocaba,009 DP - Sorocaba,1,Dezembro,2021,SOROCABA,Feminino,41,Branca,FAXINEIRO(A),HOMICÍDIO DOLOSO
Sorocaba,009 DP - Sorocaba,1,Dezembro,2021,SOROCABA,Feminino,25,Branca,RECEPCIONISTA,HOMICÍDIO DOLOSO
Leme,001 DP - Leme,1,Dezembro,2021,LEME,Feminino,31,Branca,DESEMPREGADO(A),HOMICÍDIO DOLOSO
Diadema,003 DP - Diadema,1,Dezembro,2021,DIADEMA,Feminino,56,Parda,NÃO_DECLARADO,HOMICÍDIO DOLOSO
Guarulhos,004 DP - Guarulhos,1,Dezembro,2021,GUARULHOS,Feminino,40,Branca,NAO INFORMADA,HOMICÍDIO DOLOSO
São Paulo,054 DP - Cidade Tiradentes,1,Janeiro,2022,S.PAULO,Feminino,58,Branca,NÃO_DECLARADO,HOMICÍDIO DOLOSO
São Paulo,103 DP - Cohab Itaquera,1,Janeiro,2022,S.PAULO,Feminino,77,Branca,NÃO_DECLARADO,HOMICÍDIO DOLOSO
São Paulo,018 DP - Alto da Moóca,1,Janeiro,2022,S.PAULO,Feminino,51,Parda,NÃO_DECLARADO,HOMICÍDIO DOLOSO
São Paulo,074 DP - Jaraguá,1,Janeiro,2022,S.PAULO,Feminino,47,Parda,AUXILIAR DE LIMPEZA,HOMICÍDIO DOLOSO
Campinas,009 DP - Campinas,1,Janeiro,2022,CAMPINAS,Feminino,3,Branca,NÃO_DECLARADO,HOMICÍDIO DOLOSO
Campinas,009 DP - Campinas,1,Janeiro,2022,CAMPINAS,Feminino,71,Branca,NÃO_DECLARADO,HOMICÍDIO DOLOSO
Campinas,009 DP - Campinas,1,Janeiro,2022,CAMPINAS,Feminino,34,Branca,NÃO_DECLARADO,HOMICÍDIO DOLOSO
Campinas,006 DP - Campinas,1,Janeiro,2022,CAMPINAS,Feminino,39,Branca,CABELEIREIRO(A),HOMICÍDIO DOLOSO
Santa Rosa do Viterbo,DM - Sta. Rosa Viterbo,1,Janeiro,2022,S.ROSA DE VITERBO,Feminino,41,Branca,MANICURE,HOMICÍDIO DOLOSO
Dois Córregos,DM - Dois Córregos,1,Janeiro,2022,DOIS CORREGOS,Feminino,27,Preta,PRENDAS DOMESTICAS,HOMICÍDIO DOLOSO
São José do Rio Preto,001 DP - São José do Rio Preto,1,Janeiro,2022,S.JOSE DO RIO PRETO,Feminino,35,Branca,CONTROLADOR(A) DE QUALIDADE,HOMICÍDIO DOLOSO
Peruíbe,DM - Peruíbe,1,Janeiro,2022,PERUIBE,Feminino,47,Parda,NÃO_DECLARADO,HOMICÍDIO DOLOSO
Buri,DM - Buri,1,Janeiro,2022,BURI,Feminino,52,Branca,NÃO_DECLARADO,HOMICÍDIO DOLOSO
Pedrinhas Paulista,DM - Pedrinhas Pta.,1,Janeiro,2022,PEDRINHAS PAULISTA,Feminino,40,Branca,NÃO_DECLARADO,HOMICÍDIO DOLOSO
Vargem Grande do Sul,DM - Vargem Grande do Sul,1,Janeiro,2022,VARGEM GRANDE DO SUL,Feminino,46,Branca,NÃO_DECLARADO,HOMICÍDIO DOLOSO
Juquitiba,DM - Juquitiba,1,Janeiro,2022,JUQUITIBA,Feminino,55,Parda,NÃO_DECLARADO,HOMICÍDIO DOLOSO
Osasco,002 DP - Osasco,1,Janeiro,2022,OSASCO,Feminino,19,Ignorada,ESTUDANTE,HOMICÍDIO DOLOSO
Guarulhos,007 DP - Guarulhos,1,Janeiro,2022,GUARULHOS,Feminino,37,Preta,NÃO_DECLARADO,HOMICÍDIO DOLOSO
Diadema,001 DP - Diadema,1,Janeiro,2022,DIADEMA,Feminino,39,Branca,NÃO_DECLARADO,HOMICÍDIO DOLOSO
Itaquaquecetuba,DM - Itaquaquecetuba,1,Janeiro,2022,ITAQUAQUECETUBA,Feminino,35,Parda,NAO INFORMADA,HOMICÍDIO DOLOSO
São Paulo,092 DP - Parque Santo Antônio,1,Fevereiro,2022,S.PAULO,Feminino,26,Branca,NÃO_DECLARADO,HOMICÍDIO DOLOSO
São Paulo,073 DP - Jaçanã,1,Fevereiro,2022,S.PAULO,Feminino,37,Branca,NÃO_DECLARADO,HOMICÍDIO DOLOSO
Penápolis,DM - Penapolis,1,Fevereiro,2022,PENAPOLIS,Feminino,1,Branca,NÃO_DECLARADO,HOMICÍDIO DOLOSO
Terra Roxa,DM - Terra Roxa,1,Fevereiro,2022,TERRA ROXA,Feminino,26,Branca,NÃO_DECLARADO,HOMICÍDIO DOLOSO
Ubirajara,DM - Ubirajara,1,Fevereiro,2022,UBIRAJARA,Feminino,35,Branca,MANICURE,HOMICÍDIO DOLOSO
Palestina,DM - Palestina,1,Fevereiro,2022,PALESTINA,Feminino,33,Branca,COSTUREIRO(A),HOMICÍDIO DOLOSO
São Vicente,003 DP - São Vicente,1,Fevereiro,2022,S.VICENTE,Feminino,46,Branca,NAO INFORMADA,HOMICÍDIO DOLOSO
Ibiúna,DM - Ibiúna,1,Fevereiro,2022,IBIUNA,Feminino,34,Branca,NÃO_DECLARADO,HOMICÍDIO DOLOSO
Junqueirópolis,DM - Junqueirópolis,1,Fevereiro,2022,JUNQUEIROPOLIS,Feminino,44,Branca,NÃO_DECLARADO,HOMICÍDIO DOLOSO
Limeira,002 DP - Limeira,1,Fevereiro,2022,LIMEIRA,Feminino,42,Branca,AUXILIAR DE PRODUCAO,HOMICÍDIO DOLOSO
Ferraz de Vasconcelos,DM - Ferraz de Vasconcelos,1,Fevereiro,2022,FERRAZ DE VASCONCELOS,Feminino,27,Parda,NAO INFORMADA,HOMICÍDIO DOLOSO
São Paulo,024 DP - Ponte Rasa,1,Março,2022,S.PAULO,Feminino,54,Branca,APOSENTADO(A),HOMICÍDIO DOLOSO
Mirandópolis,DM - Mirandópolis,1,Março,2022,MIRANDOPOLIS,Feminino,31,Branca,NÃO_DECLARADO,HOMICÍDIO DOLOSO
Serra Negra,DM - Serra Negra,1,Março,2022,SERRA NEGRA,Feminino,34,Branca,NÃO_DECLARADO,HOMICÍDIO DOLOSO
Campinas,010 DP - Campinas,1,Março,2022,CAMPINAS,Feminino,31,Branca,ESTUDANTE,HOMICÍDIO DOLOSO
Porto Ferreira,DM - Porto Ferreira,1,Março,2022,PORTO FERREIRA,Feminino,63,Branca,PROFESSOR(A),HOMICÍDIO DOLOSO
Matão,001 DP - Matao,1,Março,2022,MATAO,Feminino,41,Parda,PRENDAS DOMESTICAS,HOMICÍDIO DOLOSO
Américo Brasiliense,DM - Américo Brasiliense,1,Março,2022,AMERICO BRASILIENSE,Feminino,29,Parda,EMBALADOR(A),HOMICÍDIO DOLOSO
Lins,003 DP - Lins,1,Março,2022,LINS,Feminino,21,Branca,NÃO_DECLARADO,HOMICÍDIO DOLOSO
São José do Rio Preto,004 DP - São José do Rio Preto,1,Março,2022,S.JOSE DO RIO PRETO,Feminino,45,Branca,PRENDAS DOMESTICAS,HOMICÍDIO DOLOSO
Monte Aprazível,DM - Monte Aprazível,1,Março,2022,MONTE APRAZIVEL,Feminino,42,Parda,NÃO_DECLARADO,HOMICÍDIO DOLOSO
Guarujá,002 DP - Guarujá,1,Março,2022,GUARUJA,Feminino,34,Branca,NÃO_DECLARADO,HOMICÍDIO DOLOSO
Dracena,001 DP - Dracena,1,Março,2022,DRACENA,Feminino,42,Parda,NÃO_DECLARADO,HOMICÍDIO DOLOSO
Piracicaba,001 DP - Piracicaba,1,Março,2022,PIRACICABA,Feminino,41,Branca,NÃO_DECLARADO,HOMICÍDIO DOLOSO
Taboão da Serra,002 DP - Taboão da Serra,1,Março,2022,TABOAO DA SERRA,Feminino,29,Branca,PRENDAS DOMESTICAS,HOMICÍDIO DOLOSO
São Bernardo do Campo,006 DP - São Bernardo do Campo,1,Março,2022,S.BERNARDO DO CAMPO,Feminino,33,Parda,AJUDANTE DE COZINHA,HOMICÍDIO DOLOSO
Ferraz de Vasconcelos,DM - Ferraz de Vasconcelos,1,Março,2022,FERRAZ DE VASCONCELOS,Feminino,22,Parda,NÃO_DECLARADO,HOMICÍDIO DOLOSO
Francisco Morato,DM - Francisco Morato,1,Março,2022,FRANCISCO MORATO,Feminino,50,Branca,PRENDAS DOMESTICAS,HOMICÍDIO DOLOSO
Itapevi,DM - Itapevi,1,Março,2022,ITAPEVI,Feminino,37,Parda,AUXILIAR DE LIMPEZA,HOMICÍDIO DOLOSO
Barueri,DM - Barueri,1,Março,2022,BARUERI,Feminino,25,Parda,GARÇON(ETE),HOMICÍDIO DOLOSO
São Paulo,024 DP - Ponte Rasa,1,Abril,2022,S.PAULO,Feminino,36,Preta,PRENDAS DOMESTICAS,HOMICÍDIO DOLOSO
São Paulo,085 DP - Jardim Mirna,1,Abril,2022,S.PAULO,Feminino,35,Parda,NÃO_DECLARADO,HOMICÍDIO DOLOSO
São Paulo,074 DP - Jaraguá,1,Abril,2022,S.PAULO,Feminino,40,Branca,COMERCIANTE,HOMICÍDIO DOLOSO
São Paulo,083 DP - Parque Bristol,1,Abril,2022,S.PAULO,Feminino,52,Branca,PRENDAS DOMESTICAS,HOMICÍDIO DOLOSO
São José dos Campos,006 DP - São Jose dos Campos,1,Abril,2022,S.JOSE DOS CAMPOS,Feminino,36,Branca,NÃO_DECLARADO,HOMICÍDIO DOLOSO
Guarujá,DM - Guarujá,1,Abril,2022,GUARUJA,Feminino,30,Parda,DESEMPREGADO(A),HOMICÍDIO DOLOSO
Cubatão,003 DP - Cubatão,1,Abril,2022,CUBATAO,Feminino,29,Parda,ANALISTA,HOMICÍDIO DOLOSO
Itanhaém,002 DP - Itanhaem,1,Abril,2022,ITANHAEM,Feminino,24,Branca,FAXINEIRO(A),HOMICÍDIO DOLOSO
Álvares Machado,DM - Álvares Machado,1,Abril,2022,ALVARES MACHADO,Feminino,32,Branca,NÃO_DECLARADO,HOMICÍDIO DOLOSO
Osasco,003 DP - Osasco,1,Abril,2022,OSASCO,Feminino,29,Branca,NÃO_DECLARADO,HOMICÍDIO DOLOSO
São Paulo,056 DP - Vila Alpina,1,Maio,2022,S.PAULO,Feminino,59,Branca,APOSENTADO(A),HOMICÍDIO DOLOSO
São Paulo,049 DP - São Mateus,1,Maio,2022,S.PAULO,Feminino,29,Branca,NÃO_DECLARADO,HOMICÍDIO DOLOSO
Pindamonhangaba,DM - Pindamonhangaba,1,Maio,2022,TAUBATE,Feminino,19,Branca,NÃO_DECLARADO,HOMICÍDIO DOLOSO
Ribeirão Preto,002 DP - Ribeirão Preto,1,Maio,2022,RIBEIRAO PRETO,Feminino,26,Branca,NÃO_DECLARADO,HOMICÍDIO DOLOSO
Igarapava,DM - Igarapava,1,Maio,2022,IGARAPAVA,Feminino,38,Parda,SEGURANCA,HOMICÍDIO DOLOSO
Santa Adélia,DM - Sta. Adélia,1,Maio,2022,CATANDUVA,Feminino,44,Branca,PRENDAS DOMESTICAS,HOMICÍDIO DOLOSO
Taquarituba,DM - Taquarituba,1,Maio,2022,AVARE,Feminino,6,Parda,NÃO_DECLARADO,HOMICÍDIO DOLOSO
Taquarituba,DM - Taquarituba,1,Maio,2022,AVARE,Feminino,5,Parda,NÃO_DECLARADO,HOMICÍDIO DOLOSO
Dracena,002 DP - Dracena,1,Maio,2022,DRACENA,Feminino,35,Branca,NÃO_DECLARADO,HOMICÍDIO DOLOSO
Itapecerica da Serra,DM - Itapecerica da Serra,1,Maio,2022,ITAPECERICA DA SERRA,Feminino,31,Parda,NÃO_DECLARADO,HOMICÍDIO DOLOSO
Santana de Parnaíba,DM - Santana do Parnaiba,1,Maio,2022,BARUERI,Feminino,36,Branca,NÃO_DECLARADO,HOMICÍDIO DOLOSO
Itapevi,DM - Itapevi,1,Maio,2022,BARUERI,Feminino,26,Parda,NÃO_DECLARADO,HOMICÍDIO DOLOSO
São Paulo,089 DP - Portal do Morumbi,1,Junho,2022,S.PAULO,Feminino,23,Parda,AUXILIAR DE LIMPEZA,HOMICÍDIO DOLOSO
Caçapava,DM - Caçapava,1,Junho,2022,CACAPAVA,Feminino,34,Branca,NÃO_DECLARADO,HOMICÍDIO DOLOSO
Mogi Guaçu,003 DP - Mogi-Guaçu,1,Junho,2022,MOGI-GUACU,Feminino,32,Branca,TECNICO EM ENFERMAGEM,HOMICÍDIO DOLOSO
Bauru,003 DP - Bauru,1,Junho,2022,BAURU,Feminino,52,Branca,NÃO_DECLARADO,HOMICÍDIO DOLOSO
Marília,001 DP - Marília,1,Junho,2022,MARILIA,Feminino,81,Amarela,NÃO_DECLARADO,HOMICÍDIO DOLOSO
Araçoiaba da Serra,DM - Araçoiba da Serra,1,Junho,2022,VOTORANTIM,Feminino,45,Branca,NÃO_DECLARADO,HOMICÍDIO DOLOSO
Presidente Epitácio,DM - Presidente Epitácio,1,Junho,2022,PRESIDENTE EPITACIO,Feminino,35,Preta,NÃO_DECLARADO,HOMICÍDIO DOLOSO
Araras,001 DP - Araras,1,Junho,2022,ARARAS,Feminino,55,Preta,CATADOR MATERIAL RECICLAVEL,HOMICÍDIO DOLOSO
Limeira,002 DP - Limeira,1,Junho,2022,LIMEIRA,Feminino,52,Branca,AUXILIAR DE SERVIÇOS GERAIS,HOMICÍDIO DOLOSO
Santana de Parnaíba,DM - Santana do Parnaiba,1,Junho,2022,BARUERI,Feminino,22,Parda,NÃO_DECLARADO,HOMICÍDIO DOLOSO
Diadema,002 DP - Diadema,1,Junho,2022,DIADEMA,Feminino,33,Branca,AUTONOMO(A),HOMICÍDIO DOLOSO
São Paulo,001 DP - Sé,1,Julho,2022,S.PAULO,Feminino,34,Parda,NÃO_DECLARADO,HOMICÍDIO DOLOSO
São Paulo,102 DP - Socorro,1,Julho,2022,S.PAULO,Feminino,39,Branca,AUTONOMO(A),HOMICÍDIO DOLOSO
São Paulo,069 DP - Teotônio Vilela,1,Julho,2022,S.PAULO,Feminino,30,Branca,POLICIAL MILITAR,HOMICÍDIO DOLOSO
Caraguatatuba,001 DP - Caraguatatuba,1,Julho,2022,CARAGUATATUBA,Feminino,47,Parda,NÃO_DECLARADO,HOMICÍDIO DOLOSO
Campinas,008 DP - Campinas,1,Julho,2022,CAMPINAS,Feminino,34,Branca,NÃO_DECLARADO,HOMICÍDIO DOLOSO
Campinas,009 DP - Campinas,1,Julho,2022,CAMPINAS,Feminino,55,Branca,AUXILIAR DE LIMPEZA,HOMICÍDIO DOLOSO
Pedra Bela,DM - Pedra Bela,1,Julho,2022,BRAGANCA PAULISTA,Feminino,36,Branca,NÃO_DECLARADO,HOMICÍDIO DOLOSO
Ribeirão Preto,003 DP - Ribeirão Preto,1,Julho,2022,RIBEIRAO PRETO,Feminino,24,Branca,CABELEIREIRO(A),HOMICÍDIO DOLOSO
Lençóis Paulista,DM - Lençóis Paulista,1,Julho,2022,BAURU,Feminino,31,Branca,NÃO_DECLARADO,HOMICÍDIO DOLOSO
Lins,003 DP - Lins,1,Julho,2022,LINS,Feminino,38,Branca,AUXILIAR DE LIMPEZA,HOMICÍDIO DOLOSO
Novo Horizonte,DM - Novo Horizonte,1,Julho,2022,NOVO HORIZONTE,Feminino,37,Branca,NÃO_DECLARADO,HOMICÍDIO DOLOSO
Itanhaém,001 DP - Itanhaem,1,Julho,2022,ITANHAEM,Feminino,59,Branca,NÃO_DECLARADO,HOMICÍDIO DOLOSO
Guapiara,DM - Guapiara,1,Julho,2022,CAPAO BONITO,Feminino,31,Branca,NÃO_DECLARADO,HOMICÍDIO DOLOSO
Pirassununga,001 DP - Pirassununga,1,Julho,2022,PIRASSUNUNGA,Feminino,27,Parda,FISCAL,HOMICÍDIO DOLOSO
Francisco Morato,DM - Francisco Morato,1,Julho,2022,FRANCISCO MORATO,Feminino,41,Parda,FAXINEIRO(A),HOMICÍDIO DOLOSO
Francisco Morato,DM - Francisco Morato,1,Julho,2022,FRANCISCO MORATO,Feminino,35,Branca,DESEMPREGADO,HOMICÍDIO DOLOSO
Francisco Morato,DM - Francisco Morato,1,Julho,2022,FRANCISCO MORATO,Feminino,40,Branca,DESEMPREGADO,HOMICÍDIO DOLOSO
Franco da Rocha,DM - Franco da Rocha,1,Julho,2022,FRANCO DA ROCHA,Feminino,33,Parda,NÃO_DECLARADO,HOMICÍDIO DOLOSO
Osasco,008 DP - Osasco,1,Julho,2022,OSASCO,Feminino,31,Branca,OUTROS,HOMICÍDIO DOLOSO
Santo André,006 DP - Santo André,1,Julho,2022,S.ANDRE,Feminino,65,Branca,MODELISTA,HOMICÍDIO DOLOSO
São Paulo,073 DP - Jaçanã,1,Agosto,2022,S.PAULO,Feminino,58,Parda,PRENDAS DOMESTICAS,HOMICÍDIO DOLOSO
São Paulo,047 DP - Capão Redondo,1,Agosto,2022,S.PAULO,Feminino,52,Parda,OUTROS,HOMICÍDIO DOLOSO
São Paulo,024 DP - Ponte Rasa,1,Agosto,2022,S.PAULO,Feminino,25,Branca,CABELEIREIRO(A),HOMICÍDIO DOLOSO
São Paulo,062 DP - Ermelino Matarazzo,1,Agosto,2022,S.PAULO,Feminino,43,Branca,NÃO_DECLARADO,HOMICÍDIO DOLOSO
Pindamonhangaba,DM - Pindamonhangaba,1,Agosto,2022,PINDAMONHANGABA,Feminino,58,Branca,NÃO_DECLARADO,HOMICÍDIO DOLOSO
Itatiba,001 DP - Itatiba,1,Agosto,2022,ITATIBA,Feminino,49,Branca,NÃO_DECLARADO,HOMICÍDIO DOLOSO
Embaúba,DM - Embaúba,1,Agosto,2022,EMBAUBA,Feminino,43,Parda,NÃO_DECLARADO,HOMICÍDIO DOLOSO
Lins,003 DP - Lins,1,Agosto,2022,LINS,Feminino,30,Preta,PRENDAS DOMESTICAS,HOMICÍDIO DOLOSO
Nova Granada,DM - Nova Granada,1,Agosto,2022,NOVA GRANADA,Feminino,0,Ignorada,NÃO_DECLARADO,HOMICÍDIO DOLOSO
Ribeirão Branco,DM - Rib. Branco,1,Agosto,2022,ITAPEVA,Feminino,28,Parda,VENDEDOR(A),HOMICÍDIO DOLOSO
Cotia,DM - Cotia,1,Agosto,2022,COTIA,Feminino,41,Branca,COZINHEIRO(A),HOMICÍDIO DOLOSO
Itapevi,DM - Itapevi,1,Agosto,2022,BARUERI,Feminino,46,Parda,OUTROS,HOMICÍDIO DOLOSO
Pirapora do Bom Jesus,DM - Pirapora do Bom Jesus,1,Agosto,2022,SANTANA DE PARNAIBA,Feminino,49,Parda,NÃO_DECLARADO,HOMICÍDIO DOLOSO
Guarulhos,007 DP - Guarulhos,1,Agosto,2022,GUARULHOS,Feminino,38,Parda,NÃO_DECLARADO,HOMICÍDIO DOLOSO
São Bernardo do Campo,003 DP - São Bernardo do Campo,1,Agosto,2022,S.BERNARDO DO CAMPO,Feminino,61,Branca,NÃO_DECLARADO,HOMICÍDIO DOLOSO
Taboão da Serra,002 DP - Taboão da Serra,1,Agosto,2022,TABOAO DA SERRA,Feminino,42,Parda,NÃO_DECLARADO,HOMICÍDIO DOLOSO
São Paulo,077 DP - Santa Cecília,1,Setembro,2022,S.PAULO,Feminino,48,Parda,EMPREGADO DOMESTICO,HOMICÍDIO DOLOSO
São Paulo,087 DP - Vila Pereira Barreto,1,Setembro,2022,S.PAULO,Feminino,40,Branca,VIGILANTE,HOMICÍDIO DOLOSO
São Paulo,047 DP - Capão Redondo,1,Setembro,2022,S.PAULO,Feminino,18,Parda,DESEMPREGADO(A),HOMICÍDIO DOLOSO
São Paulo,055 DP - Parque São Rafael,1,Setembro,2022,S.PAULO,Feminino,39,Parda,OUTROS,HOMICÍDIO DOLOSO
Pinhalzinho,DM - Pinhalzinho,1,Setembro,2022,BRAGANCA PAULISTA,Feminino,52,Parda,NÃO_DECLARADO,HOMICÍDIO DOLOSO
Pedregulho,DM - Pedregulho,1,Setembro,2022,PEDREGULHO,Feminino,23,Parda,NÃO_DECLARADO,HOMICÍDIO DOLOSO
Pontal,DM - Pontal,1,Setembro,2022,PONTAL,Feminino,29,Parda,NÃO_DECLARADO,HOMICÍDIO DOLOSO
Fernandópolis,002 DP - Fernandópolis,1,Setembro,2022,FERNANDOPOLIS,Feminino,28,Parda,NÃO_DECLARADO,HOMICÍDIO DOLOSO
Araçoiaba da Serra,DM - Araçoiba da Serra,1,Setembro,2022,TATUI,Feminino,36,Branca,NÃO_DECLARADO,HOMICÍDIO DOLOSO
Barueri,002 DP - Barueri,1,Setembro,2022,BARUERI,Feminino,28,Parda,OUTROS,HOMICÍDIO DOLOSO
Guarulhos,007 DP - Guarulhos,1,Setembro,2022,GUARULHOS,Feminino,54,Parda,NÃO_DECLARADO,HOMICÍDIO DOLOSO
Suzano,001 DP - Suzano,1,Setembro,2022,SUZANO,Feminino,28,Branca,NÃO_DECLARADO,HOMICÍDIO DOLOSO
Osasco,010 DP - Osasco,1,Setembro,2022,OSASCO,Feminino,39,Branca,PRENDAS DOMESTICAS,HOMICÍDIO DOLOSO
São Paulo,047 DP - Capão Redondo,1,Outubro,2022,S.PAULO,Feminino,21,Parda,NÃO_DECLARADO,HOMICÍDIO DOLOSO
São Paulo,047 DP - Capão Redondo,1,Outubro,2022,S.PAULO,Feminino,33,Parda,NÃO_DECLARADO,HOMICÍDIO DOLOSO
São Paulo,100 DP - Jardim Herculano,1,Outubro,2022,S.PAULO,Feminino,62,Parda,NÃO_DECLARADO,HOMICÍDIO DOLOSO
São Paulo,103 DP - Cohab Itaquera,1,Outubro,2022,S.PAULO,Feminino,27,Branca,NÃO_DECLARADO,HOMICÍDIO DOLOSO
São Paulo,049 DP - São Mateus,1,Outubro,2022,S.PAULO,Feminino,20,Parda,NÃO_DECLARADO,HOMICÍDIO DOLOSO
São Paulo,053 DP - Parque do Carmo,1,Outubro,2022,S.PAULO,Feminino,38,Parda,NÃO_DECLARADO,HOMICÍDIO DOLOSO
Potim,DM - Potim,1,Outubro,2022,APARECIDA,Feminino,36,Branca,COZINHEIRO(A),HOMICÍDIO DOLOSO
